TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2168,taskhostex.exe,0x86876638,0x1fc,Event,0x1f0003,MSCTF.CtfActivated.Default1
0,2168,taskhostex.exe,0x86876c98,0x200,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86876688,0x204,Event,0x1f0003,MSCTF.CtfMonitorInitialized.Default1
0,2168,taskhostex.exe,0x86801cd8,0x208,File,0x120089,\\Device\\HarddiskVolume2\\Windows\\System32\\en-US\\MsCtfMonitor.dll.mui
0,2168,taskhostex.exe,0x86878340,0x20c,Mutant,0x1f0001,CicLoadWinStaWinSta0
0,2168,taskhostex.exe,0x86876b60,0x210,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86878238,0x214,Mutant,0x1f0001,MSCTF.CtfMonitorInstMutexDefault1
0,2168,taskhostex.exe,0x86876f08,0x218,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86878680,0x21c,Thread,0x1fffff,Tid 2284 Pid 2168
0,2168,taskhostex.exe,0x85b68588,0x220,Event,0x100000,TermSrvReadyEvent
0,2168,taskhostex.exe,0x86c28a38,0x224,Semaphore,0x100003,-
0,2168,taskhostex.exe,0x868765e8,0x228,Event,0x1f0003,MSCTF.CtfDeactivated.Default1
0,2168,taskhostex.exe,0x86876598,0x22c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86876558,0x230,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86877040,0x234,Thread,0x1fffff,Tid 2292 Pid 2168
0,2168,taskhostex.exe,0x86877a48,0x238,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868778c8,0x23c,ALPC Port,0x1f0001,msctf.serverDefault1
0,2168,taskhostex.exe,0xa7733920,0x240,Key,0x20019,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS\\CURRENTVERSION\\EXPLORER\\FOLDERDESCRIPTIONS\\{905E63B6-C1BF-494E-B29C-65B732D3D21A}\\PROPERTYBAG
0,2168,taskhostex.exe,0x86238ff0,0x244,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868c00a8,0x24c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86876c40,0x250,Mutant,0x1f0001,MSCTF.Asm.MutexDefault1
0,2168,taskhostex.exe,0x86875b90,0x254,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86875818,0x258,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x86875750,0x25c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86875710,0x260,Event,0x1f0003,-
0,2168,taskhostex.exe,0x9c88e030,0x264,Directory,0x20003,-
0,2168,taskhostex.exe,0x9ae9d040,0x268,Section,0x4,ASqmManifestVersion
0,2168,taskhostex.exe,0x86875158,0x270,Event,0x1f0003,-
0,2168,taskhostex.exe,0x868c0450,0x274,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa7613558,0x278,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\KEYBOARD LAYOUT\\TOGGLE
0,2168,taskhostex.exe,0x86872d70,0x27c,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86872ce8,0x280,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761ffd0,0x284,Key,0x20019,MACHINE\\SOFTWARE\\MICROSOFT\\CTF\\TIP
0,2168,taskhostex.exe,0xa7612c98,0x288,Section,0xf0007,CTF.AsmListCache.FMPDefault1
0,2168,taskhostex.exe,0x86872c60,0x28c,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761ff08,0x290,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\KEYBOARD LAYOUT\\PRELOAD
0,2168,taskhostex.exe,0xa761fe40,0x294,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\WINDOWS\\CURRENTVERSION\\RUN
0,2168,taskhostex.exe,0x86872bd8,0x298,Event,0x1f0003,-
